t0;t1;t2;t3;t4;s_r;s_f;N;d_r;d_f;total_integral;tail_integral;fom
308.9682;294.8694869486949;305.5905590559056;313.23132313231326;389.7989798979898;6.2642;25.5385;137.7119;10.721072107210716;76.56765676567653;2827.799809346379;4423.28898293968;0.6392980020643027
93.547;80.6880688068807;90.6890689068907;97.00970097009701;167.5767576757676;5.681;26.1597;193.0314;10.001000100010003;70.56705670567058;4125.563633410982;6093.580501921624;0.6770344023698344
221.8939;208.46084608460848;218.9018901890189;225.02250225022505;285.5485548554856;6.1458;26.0018;442.9195;10.441044104410423;60.52605260526053;9215.385259053903;13834.246646169868;0.6661284488234321
120.7913;106.45064506450646;117.73177317731773;123.6923692369237;183.77837783778378;6.495;25.8142;590.8088;11.281128112811274;60.08600860086008;12300.790851341104;18600.26955340917;0.6613232574947572
270.4253;257.1057105710571;267.3867386738674;273.74737473747376;335.3935393539354;5.8652;23.7683;208.8382;10.281028102810296;61.64616461646165;3993.622535648213;6140.714499209436;0.6503514430059169
116.4444;102.37023702370237;113.29132913291329;119.8919891989199;196.6996699669967;5.9034;23.647;113.2872;10.921092109210917;76.8076807680768;2225.519406704391;3412.790071510083;0.6521114279143599
95.0793;80.84808480848085;91.96919691969197;97.92979297929793;151.73517351735174;6.4998;23.4095;528.6801;11.121112111211119;53.80538053805381;9856.998930504984;15459.633724070878;0.6375958904613304
221.6323;209.26092609260928;218.9018901890189;224.5824582458246;282.82828282828285;5.6305;25.0321;486.7471;9.640964096409618;58.245824582458255;9772.697168185015;14465.961871136571;0.6755649748866086
222.8064;208.38083808380838;219.4619461946195;227.30273027302732;400.0;6.0573;23.2705;76.7042;11.081108110811101;172.69726972697268;1470.4506453255472;2356.33994514062;0.6240401128699598
128.3481;114.81148114811482;125.41254125412541;131.61316131613162;191.41914191419144;6.1402;25.6971;362.2838;10.601060106010593;59.80598059805982;7398.9950769499;11221.17891177039;0.6593776941911841
41.3166;26.842684268426844;37.883788378837885;45.40454045404541;119.53195319531953;6.1029;26.0869;162.91;11.041104110411041;74.12741274127413;3421.4543943620733;5261.8703077152895;0.6502354095169011
232.4514;217.90179017901792;229.1829182918292;235.3835383538354;295.6295629562957;6.4396;24.6432;338.595;11.281128112811274;60.24602460246027;6765.403055056569;10368.9677839247;0.6524663974311081
104.7006;90.44904490449045;101.33013301330134;108.17081708170818;177.33773377337735;5.8804;24.737;146.5199;10.881088108810886;69.16691669166917;2957.7547966891702;4495.411187821759;0.6579497788104103
312.1324;299.66996699669966;309.35093509350935;314.8714871487149;372.3172317231723;5.6072;24.8235;433.9568;9.680968096809693;57.44574457445742;8693.331193430504;12788.375403627293;0.6797838598767384
321.2043;307.1107110711071;318.15181518151815;324.1924192419242;380.7980798079808;6.3624;24.3092;440.5294;11.041104110411027;56.6056605660566;8547.517146919825;13205.032104045546;0.6472924169795221
148.3752;133.33333333333334;144.21442144214421;153.13531353135315;398.2798279827983;6.4716;25.3681;82.6116;10.881088108810872;245.14451445144513;1737.039170979352;2752.1723941514833;0.6311520218248883
33.8511;20.282028202820282;30.763076307630765;37.08370837083709;95.8895889588959;6.2006;25.0585;358.8753;10.481048104810483;58.80588058805881;7148.182236428665;10945.614730658217;0.653063570418471
288.4604;275.2675267526753;285.5885588558856;292.10921092109214;357.1957195719572;5.6633;26.4536;220.0142;10.321032103210314;65.08650865086508;4637.277749259034;6917.831981432377;0.670336857227177
283.6871;269.2269226922692;280.54805480548055;286.5086508650865;345.2745274527453;6.4661;24.8024;426.1852;11.32113211321132;58.765876587658795;8551.350167849396;13054.312505281225;0.6550594038858715
111.9342;99.32993299329934;109.17091709170917;117.81178117811781;236.10361036103612;5.7767;49.4168;439.1609;9.840984098409834;118.2918291829183;17509.3878993863;23029.95680670378;0.7602874832266077
59.283;45.76457645764577;56.04560456045605;65.56655665566556;187.25872587258726;6.1293;49.1587;281.7121;10.281028102810282;121.6921692169217;11161.730792728786;14928.186461739766;0.7476950278813688
189.7959;175.73757375737574;186.61866186618664;195.81958195819584;316.2316231623162;6.3521;50.4145;341.6827;10.8810881088109;120.41204120412038;13882.96266272602;18470.00835750399;0.7516489648520194
209.5235;195.6995699569957;206.3806380638064;215.86158615861586;344.1544154415442;6.1036;51.8914;267.6718;10.681068106810699;128.29282928292832;11255.486946678564;14851.95504899352;0.7578454762049203
248.2696;234.7834783478348;245.30453045304532;253.66536653665366;371.03710371037107;6.0221;48.1285;352.2776;10.521052105210515;117.3717371737174;13833.71567777013;18223.879297959484;0.7590982935954301
252.9455;239.62396239623965;249.82498249824982;259.025902590259;377.55775577557756;6.0892;49.2863;358.1666;10.201020102010176;118.53185318531854;14195.346484340142;18899.159101425863;0.751109951937976
132.8552;119.45194519451945;129.3729372937294;140.81408140814082;320.91209120912094;5.5929;49.0039;106.3071;9.92099209920994;180.09800980098012;4316.270964337678;5830.06362707645;0.740347145491124
188.3104;176.05760576057605;185.5785578557856;194.4994499449945;316.4716471647165;5.5945;51.8246;512.3548;9.520952095209537;121.972197219722;21324.358651423783;27803.348719786332;0.7669708734131095
77.4149;63.80638063806381;74.4074407440744;83.52835283528353;202.14021402140216;6.1504;51.4588;550.5324;10.6010601060106;118.61186118611863;22646.722807127746;29949.598144543266;0.7561611577500887
58.5059;46.084608460846084;55.80558055805581;64.84648464846485;182.61826182618262;5.5116;48.1777;269.9227;9.720972097209724;117.77177717771777;10411.428294417321;13834.464760910034;0.7525718178729492
56.6132;43.80438043804381;53.765376537653765;62.60626062606261;174.61746174617463;5.7461;48.4393;425.9253;9.960996099609957;112.01120112011202;16425.27883438237;21814.502118910685;0.7529522674800598
269.943;256.9056905690569;267.0667066706671;275.7875787578758;391.7191719171917;5.9128;50.5159;565.1365;10.161016101610187;115.93159315931592;22866.893478000402;30058.96474548373;0.7607345652659606
31.932;18.96189618961896;28.962896289628965;38.48384838483849;166.01660166016603;5.8559;51.5614;265.4595;10.001000100010003;127.53275327532754;11038.055022072791;14567.468312328981;0.7577195148405356
56.2688;43.96439643964397;53.485348534853486;61.92619261926193;182.01820182018201;5.669;51.4433;529.1613;9.520952095209516;120.09200920092007;22024.67594986259;28506.63727378453;0.7726157153624386
52.939;39.16391639163916;49.80498049804981;59.80598059805981;195.3795379537954;5.8046;49.9947;194.6686;10.641064106410646;135.57355735573557;7919.892742645853;10560.167102849486;0.7499779753020008
253.2758;239.5039503950395;249.98499849985;259.8659865986599;400.0;5.9745;51.2161;164.5529;10.481048104810498;140.1340134013401;6929.86100441854;9153.51113295824;0.7570713471322279
92.0565;79.007900790079;89.24892489248926;98.2898289828983;222.38223822382238;5.7742;51.8192;325.7567;10.24102410241025;124.09240924092408;13602.286486831856;17816.739784581427;0.763455416158867
251.9479;238.54385438543855;248.9048904890489;257.5857585758576;373.7973797379738;6.1254;49.4151;460.5192;10.36103610361036;116.21162116211622;18369.997312409305;24257.844389410715;0.7572806972258577
281.4392;268.3868386838684;278.4678467846785;287.7087708770877;400.0;5.9248;49.3909;308.6575;10.081008100810095;112.29122912291228;12045.157608186724;16091.254243413046;0.7485530603133319
295.8913;282.62826282628265;293.0693069306931;302.5902590259026;400.0;5.6844;51.7044;219.3622;10.441044104410423;97.40974097409742;8449.373788492794;11359.781155359045;0.7437972327932348
57.2356;44.48444844484449;54.40544054405441;69.88698869886989;309.51095109510953;5.7175;101.5592;397.0461;9.920992099209919;239.62396239623965;32237.496839105126;39732.34922680307;0.8113664927055966
185.6131;173.37733773377337;182.85828582858286;196.81968196819682;400.0;5.5993;98.6732;476.7958;9.480948094809492;203.18031803180318;36638.72566067531;44939.11685220211;0.8152969668089936
211.2914;198.93989398939894;208.50085008500852;222.94229422942294;400.0;5.6415;101.223;336.9085;9.560956095609583;177.05770577057706;25108.90058022588;31130.79026103581;0.806561618567483
240.5147;227.90279027902793;237.66376637663768;253.02530253025304;400.0;5.755;101.0927;355.4412;9.760976097609756;146.97469746974696;24330.992641216802;31004.5095879669;0.7847565713685682
68.7171;55.84558455845585;65.84658465846584;80.8880888088809;319.3919391939194;5.906;101.514;517.3213;10.001000100009996;238.50385038503853;42137.00906851077;51787.561404614906;0.8136511533975386
229.5711;216.54165416541656;226.74267426742676;242.1842184218422;400.0;5.8618;100.3257;305.8233;10.201020102010204;157.8157815781578;21445.11908319465;27257.72527585016;0.7867538052485484
141.2882;127.89278927892789;138.2938293829383;152.975297529753;384.91849184918493;6.1826;99.9799;539.8333;10.401040104010406;231.94319431943194;43298.78603543406;53309.51666229229;0.8122149429664746
145.1175;132.81328132813283;142.3742374237424;157.65576557655766;399.3999399939994;5.542;101.313;372.1935;9.560956095609555;241.74417441744174;30253.728973893256;37160.1140544042;0.8141452130529077
36.681;21.482148214821482;33.523352335233525;52.96529652965297;392.1192119211921;6.2231;101.8597;117.686;12.041204120412043;339.15391539153916;9850.554343796708;12526.142616649218;0.786399663908007
161.5484;147.73477347734774;158.41584158415841;176.2976297629763;400.0;5.9513;100.6737;157.8583;10.68106810681067;223.7023702370237;12238.65669809522;15557.985993289212;0.7866478799617281
218.4115;204.26042604260428;214.9014901490149;232.3832383238324;400.0;6.2983;98.9713;153.3979;10.641064106410624;167.6167616761676;10759.325506699948;13939.188777142463;0.7718760165113147
178.6166;166.33663366336634;175.977597759776;189.93899389938994;400.0;5.6246;100.1126;560.4717;9.640964096409647;210.06100610061006;43963.02571869228;53799.55214848957;0.8171634142483573
232.9941;220.06200620062006;230.1030103010301;244.22442244224425;400.0;5.8148;98.7856;542.8682;10.04100410041005;155.77557755775575;37975.25001366248;47590.90771996039;0.7979517902268346
