t0,t1,t2,t3,t4,s_r,s_f,N,d_r,d_f,total_integral,tail_integral,fom
123.621,110.3910391039104,120.33203320332034,142.53425342534254,200.0,5.9488,50.5487,199.8154,9.940994099409934,57.46574657465746,5049.398564436365,10110.178469862336,0.499437134516293
49.9,37.503750375037505,47.08470847084709,68.14681468146814,131.25312531253127,5.5724,51.2929,335.6456,9.580958095809585,63.106310631063124,9002.008850165055,17160.57678419742,0.5245749582528423
125.0618,111.17111711171118,122.03220322032203,141.45414541454147,199.95999599959998,6.369,48.9652,798.3135,10.861086108610849,58.50585058505851,20971.424211565194,39771.23190225746,0.5273013484496776
90.7379,77.92779277927794,87.80878087808782,108.1908190819082,169.69696969696972,5.8621,49.9291,312.3808,9.88098809880988,61.506150615061514,8234.579511265803,15701.206931706554,0.5244551929722763
100.1704,87.02870287028703,97.30973097309732,117.41174117411742,179.23792379237923,6.0359,50.7981,698.6808,10.281028102810282,61.82618261826181,18982.594240808707,35711.4961391449,0.5315541574300235
103.146,89.54895489548956,99.86998699869987,122.53225322532253,189.5989598959896,5.9134,50.7162,183.0453,10.321032103210314,67.06670667066706,4713.133176716503,9423.649290623813,0.5001388561229564
112.8899,99.36993699369937,109.93099309930993,130.2930293029303,191.63916391639165,6.2245,50.8379,612.8854,10.561056105610561,61.346134613461345,16562.832397138784,31465.10722339705,0.5263872860672432
34.1579,21.002100210021002,31.203120312031206,50.885088508850885,111.05110511051106,6.1033,49.8859,794.3442,10.201020102010204,60.166016601660175,21284.726540558186,39977.38148981279,0.5324192267565612
103.868,90.76907690769077,100.87008700870088,123.41234123412342,193.73937393739374,5.7798,50.7926,134.8114,10.101010101010104,70.32703270327032,3483.1469760941814,6947.1668126555305,0.5013766143845855
98.0991,85.20852085208521,95.30953095309532,114.95149514951495,174.71747174717473,5.8661,49.5671,780.5283,10.101010101010104,59.76597659765977,20634.829414867647,38876.76330012089,0.5307753954610589
54.7348,40.12401240124012,51.48514851485149,71.8871887188719,133.8133813381338,6.3806,49.2106,291.9151,11.361136113611366,61.92619261926191,7625.989851231594,14720.439052027188,0.5180545107573676
87.634,74.46744674467448,84.82848284828484,105.83058305830583,168.8968896889689,5.9423,50.7459,341.2978,10.36103610361036,63.06630663066308,9033.543386426618,17461.72250676767,0.517334036371582
45.7159,32.3032303230323,42.724272427242724,62.36623662366237,121.27212721272127,6.2013,48.5335,674.3172,10.421042104210422,58.905890589058906,17398.115848208334,33281.16917848962,0.5227615578918163
73.0142,57.30573057305731,68.94689468946895,96.54965496549656,200.0,6.4879,49.9997,73.1832,11.641164116411638,103.45034503450344,1638.543774735176,3827.635921374486,0.4280824530841958
94.8515,82.20822082208221,92.02920292029204,111.91119111911192,170.27702770277028,5.7527,48.6232,414.8961,9.820982098209825,58.365836583658364,10575.273427263195,20280.98628316109,0.5214378275105703
54.4181,42.064206420642066,51.64516451645165,71.24712471247125,130.33303330333035,5.5589,48.1574,401.5399,9.580958095809585,59.085908590859106,10202.866674879266,19419.191325661086,0.5254012128402535
115.1851,101.25012501250126,112.07120712071207,131.63316331633163,190.979097909791,6.3835,48.714,549.9565,10.821082108210817,59.34593459345936,14369.540627426932,27355.131226913596,0.525295985905903
91.1629,77.32773277327733,87.80878087808782,112.5912591259126,190.1990199019902,6.026,51.6153,108.0296,10.481048104810483,77.6077607760776,2720.1777583918742,5706.885832180386,0.47664835750754747
86.655,73.14731473147314,83.64836483648365,103.63036303630363,162.4162416241624,6.0285,48.5406,433.3129,10.501050105010506,58.785878587858775,11065.002057983244,21323.399093814158,0.5189136126609928
97.5671,84.06840684068408,94.58945894589459,114.03140314031404,172.5972597259726,6.2314,48.5325,764.6668,10.521052105210515,58.565856585658565,19819.077630298627,37733.1097935567,0.5252436848892569
134.8279,122.11221122112212,132.0932093209321,151.21512151215123,200.0,5.8494,48.72,790.1874,9.980998099809966,48.78487848784877,19644.502010760425,37742.111336002214,0.5204929272735606
115.2513,100.15001500150015,111.33113311331134,138.6138613861386,200.0,6.2442,50.6452,67.8951,11.181118111811188,61.38613861386139,1512.1022112004218,3515.6874969917517,0.43010142752854846
87.1857,73.50735073507352,84.20842084208421,104.33043304330434,166.25662566256628,6.1948,50.9523,585.5777,10.701070107010693,61.92619261926194,16023.397911618105,30119.189678615825,0.531999634870472
103.9805,89.98899889988999,100.45004500450045,127.65276527652766,200.0,5.935,51.4908,84.3532,10.46104610461046,72.34723472347234,1952.4359955266043,4432.982887386186,0.440433912136714
